replica,J7a_ueV,J7b_ueV,deltaJ7_ueV
1,0.34985226086963245,8.266815932542858,7.91696367167323
2,0.3073899039172294,8.255329011141848,7.94793910722462
3,0.41983173080029385,8.39266089214931,7.97282916134902
4,0.3590152892378495,8.267646461356138,7.90863117211829
5,0.29862961223104023,8.310621773342866,8.01199216111183
6,0.34231395921804453,8.345869873787924,8.00355591456988
7,0.2244678906084735,8.25213984758235,8.02767195697388
8,0.3083662909955626,8.269387056318944,7.96102076532338
9,0.3443821324941511,8.214111098821311,7.86972896632716
10,0.42732383400268464,8.240579192486518,7.81325535848383
11,0.37275649240195147,8.37053250163216,7.99777600923021
12,0.287756190916455,8.205400972640042,7.91764478172359
13,0.23461919514793636,8.188288598511836,7.9536694033639
14,0.31104714455429827,8.337666576580787,8.02661943202649
15,0.3092221632558051,8.311605955832453,8.00238379257665
16,0.3835714429197023,8.406420269463343,8.02284882654364
17,0.39372228945535737,8.302192843674721,7.90847055421936
18,0.34621415817723655,8.343409673213698,7.99719551503646
19,0.2557889956348819,8.177500526147307,7.92171153051243
20,0.3212518677328524,8.287871334006802,7.96661946627395
21,0.3910544859342056,8.375759881984985,7.98470539605078
22,0.30883799793422567,8.285305586739222,7.976467588805
23,0.3075692676192819,8.241596581895422,7.93402731427614
24,0.26077707044615783,8.270178631015543,8.00940156056939
25,0.2269025522900536,8.194383601641512,7.96748104935146
26,0.32733502648914037,8.350951697026465,8.02361667053733
27,0.39044188206147945,8.399199968583767,8.00875808652229
28,0.22543202017118721,8.261025216716115,8.03559319654493
29,0.2610625156905088,8.20073827401402,7.93967575832351
30,0.2111802623514913,8.178757538457214,7.96757727610572
31,0.2611935014039889,8.267986923473725,8.00679342206974
32,0.3130586145181454,8.262535151888995,7.94947653737085
33,0.3539803234007968,8.358811106318788,8.00483078291799
34,0.263327663406402,8.23834706124817,7.97501939784177
35,0.36215567127375586,8.275549085442497,7.91339341416874
36,0.3748903499045629,8.326966669877779,7.95207631997322
37,0.19137543850441557,8.28985227327235,8.09847683476793
38,0.46402794310152123,8.340597858490757,7.87656991538924
39,0.4306113130011683,8.2464181984519,7.81580688545073
40,0.4159069224555912,8.331815328764849,7.91590840630926
41,0.258907247590904,8.296344924134504,8.0374376765436
42,0.36015195489652596,8.349776885157723,7.9896249302612
43,0.26617989750351984,8.296085952500345,8.02990605499683
44,0.25151519168764297,8.233310574842626,7.98179538315498
45,0.20382043261379224,8.16401131860792,7.96019088599413
46,0.3558453781157098,8.401488449978006,8.0456430718623
47,0.41065410932368873,8.420844578465447,8.01019046914176
48,0.30856171719068487,8.353828760340031,8.04526704314935
49,0.27000355943893833,8.276669894673246,8.00666633523431
50,0.3043916944225341,8.283913520147545,7.97952182572501
51,0.3984523291147891,8.364387287525565,7.96593495841078
52,0.3807959476379011,8.327037252331568,7.94624130469367
53,0.4135668247761588,8.313333025119002,7.89976620034284
54,0.4464357716963546,8.30242313908895,7.85598736739259
55,0.3582036751963878,8.272651659333286,7.9144479841369
56,0.33654413685270285,8.277388596622414,7.94084445976971
57,0.26797390623405754,8.257532942210442,7.98955903597639
58,0.2647856313978164,8.226779228779979,7.96199359738216
59,0.3462298463199067,8.361047332672479,8.01481748635257
60,0.30980637064626426,8.268722584878768,7.9589162142325
61,0.3414513363836927,8.311221857445553,7.96977052106186
62,0.3426461453380526,8.246112335947863,7.90346619060981
63,0.3215064352643434,8.288560033756259,7.96705359849192
64,0.22826228832323492,8.2908985348286,8.06263624650536
65,0.4051340216315352,8.403832149142302,7.99869812751077
66,0.38630041911377627,8.42244683930123,8.03614642018745
67,0.32542126032233193,8.302892862098288,7.97747160177596
68,0.30691056726332533,8.264694304429145,7.95778373716582
69,0.32552545202290506,8.278802816625761,7.95327736460286
70,0.18564242605433093,8.104022544937527,7.9183801188832
71,0.27623534249310006,8.17825012332204,7.90201478082894
72,0.30346764942782817,8.325591271599759,8.02212362217193
73,0.342872182398558,8.347001432322406,8.00412924992385
